datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;truth
2024-02-29 14:58:16.795372;ff:ff:ff:ff:ff:ff;5c:ba:ef:b6:14:22;CHONGQING FUGUI ELECTRONICS CO.,LTD.;0;-89;95;1437;2442;;;[0, 1, 50, 127, 221];[5271450];11.0
2024-02-29 14:58:19.631024;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-75;96;2268;2452;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:19.831185;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-51;97;3;2417;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:19.938429;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-73;98;2281;2427;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:20.171673;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-61;99;12;2452;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:20.193397;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-63;100;13;2452;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:20.212741;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-62;101;14;2457;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:20.237187;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-61;102;15;2457;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:22.110371;ff:ff:ff:ff:ff:ff;8e:94:20:09:62:ba;;1;-90;103;1787;2427;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:22.688850;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-73;104;2293;2427;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:22.916448;ff:ff:ff:ff:ff:ff;da:a1:19:05:7b:14;Google, Inc.;1;-84;105;2855;2452;;;[0, 1, 50];[];11.0
2024-02-29 14:58:22.924526;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-72;106;2303;2452;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:23.079965;ff:ff:ff:ff:ff:ff;da:a1:19:b5:1a:6f;Google, Inc.;1;-91;107;2859;2462;;;[0, 1, 50];[];11.0
2024-02-29 14:58:23.724298;ff:ff:ff:ff:ff:ff;5e:9c:37:c8:72:ad;;1;-89;108;1459;2422;;;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:23.745896;ff:ff:ff:ff:ff:ff;5e:9c:37:c8:72:ad;;1;-88;109;1460;2422;;;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:23.833258;ff:ff:ff:ff:ff:ff;5e:9c:37:c8:72:ad;;1;-87;110;1461;2432;;;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:23.854877;ff:ff:ff:ff:ff:ff;5e:9c:37:c8:72:ad;;1;-88;111;1462;2432;;;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:23.882525;ff:ff:ff:ff:ff:ff;5e:9c:37:c8:72:ad;;1;-83;112;1463;2437;;;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:23.904090;ff:ff:ff:ff:ff:ff;5e:9c:37:c8:72:ad;;1;-85;113;1464;2437;;;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:24.628455;ff:ff:ff:ff:ff:ff;52:81:fb:d1:b4:e0;;1;-85;114;1397;2457;;;[0, 1, 50, 3, 45, 191, 221, 127, 255, 221, 221];[20722, 5271450, 9240048];11.0
2024-02-29 14:58:24.708495;ff:ff:ff:ff:ff:ff;3e:4c:55:11:7a:43;;1;-74;115;1051;2462;;;[0, 1, 50, 3, 45, 127, 255];[];11.0
