datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy;n_devices
2025-04-03 13:02:08.686088;ff:ff:ff:ff:ff:ff;06:d6:4b:eb:fc:8d;;1;-60;91;1052;2462;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];16.0;nan
2025-04-03 13:02:16.319744;ff:ff:ff:ff:ff:ff;da:e5:97:f5:b5:e9;;1;-93;92;863;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];16.0;nan
2025-04-03 13:02:16.330005;ff:ff:ff:ff:ff:ff;da:e5:97:f5:b5:e9;;1;-93;93;864;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];16.0;nan
2025-04-03 13:02:17.627905;ff:ff:ff:ff:ff:ff;04:d3:b0:e9:d5:96;Intel Corporate;0;-93;94;930;2427;;;[0, 1, 50, 45, 127, 221];[5271450];16.0;nan
2025-04-03 13:02:18.653063;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-85;95;24;2422;;;[0, 1, 50, 3, 127, 221];[5271450];16.0;nan
2025-04-03 13:02:18.653927;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-85;96;25;2422;;;[0, 1, 50, 3, 127, 221];[5271450];16.0;nan
2025-04-03 13:02:18.738681;ff:ff:ff:ff:ff:ff;2c:98:11:a3:38:33;CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.;0;-82;97;26;2427;;;[0, 1, 50, 3, 127, 221];[5271450];16.0;nan
2025-04-03 13:02:20.000145;38:17:c3:d7:58:a0;ba:85:ce:ed:15:37;;1;-87;98;1414;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:22.734797;ff:ff:ff:ff:ff:ff;9e:62:a1:02:ec:4c;;1;-67;99;895;2442;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:23.594987;ff:ff:ff:ff:ff:ff;c2:6c:c8:67:1e:88;;1;-77;100;2824;2417;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];16.0;nan
